date,sale
1399-09-22,260.98224
1399-09-23,273.8677
1399-09-24,295.75925
1399-09-25,318.74323
1399-09-26,337.25558
1399-09-27,351.83353
1399-09-28,358.62216
1399-09-29,356.88663
1399-09-30,350.03912
1399-10-01,343.7498
1399-10-02,343.7498
1399-10-03,345.34518
1399-10-04,349.78296
1399-10-05,353.39383
1399-10-06,354.98648
1399-10-07,354.3562
1399-10-08,352.4014
1399-10-09,350.4643
1399-10-10,349.5086
1399-10-11,349.70566
1399-10-12,349.70566
1399-10-13,350.89914
1399-10-14,351.38342
1399-10-15,351.5654
1399-10-16,351.37445
1399-10-17,351.02634
1399-10-18,350.76257
1399-10-19,350.70648
1399-10-20,350.83786
1399-10-21,351.04834
